ticker,model,parameters,mae,mse,rmse,direction_accuracy,time_s
REMX,MLP,hidden=[25] lr=0.0001,0.7576723073172633,1.116716000088296,1.0567478412981481,51.14503816793893,0.068
REMX,RandomForest,n_est=50,0.8129190157756155,1.0280433006457563,1.0139247016646533,46.56488549618321,0.129
REMX,RandomForest,n_est=100,0.8139802800022606,1.024026163277566,1.0119417786007088,46.94656488549619,0.169
REMX,RandomForest,n_est=200,0.8192475513994921,1.0308091298943185,1.015287707940128,47.70992366412214,0.326
REMX,SVM,rbf C=0.1,0.7033213474354394,0.8125729603076999,0.901428289054487,44.274809160305345,0.021
REMX,SVM,rbf C=1.0,0.7038831016731872,0.8142008491358284,0.9023307869821512,51.14503816793893,0.021
REMX,SVM,rbf C=10.0,0.707547227520172,0.817296206783354,0.9040443610704919,42.74809160305343,0.026
REMX,HistGradientBoosting,max_iter=100,0.7297123301990509,0.8562962155472859,0.9253627480870871,45.038167938931295,0.217
REMX,HistGradientBoosting,max_iter=200,0.7475280937462097,0.8863653206243103,0.9414697661764345,43.51145038167939,0.437
REMX,HistGradientBoosting,max_iter=300,0.7536039360192781,0.8979447459127435,0.947599464917928,43.89312977099237,0.473
AMG_AS,MLP,hidden=[25] lr=0.0001,0.38028796115972713,0.28734079112166183,0.5360417811343271,50.57034220532319,0.068
AMG_AS,RandomForest,n_est=50,0.3640255907477057,0.2646048659818122,0.5143975757930943,50.57034220532319,0.078
AMG_AS,RandomForest,n_est=100,0.36023934818111836,0.2551058677474957,0.5050800607304704,51.71102661596958,0.162
AMG_AS,RandomForest,n_est=200,0.3637055387461497,0.255194906309872,0.505168196059364,50.19011406844106,0.294
AMG_AS,SVM,rbf C=0.1,0.33850943015480534,0.22810275848983969,0.47760104531903996,48.28897338403042,0.02
AMG_AS,SVM,rbf C=1.0,0.3381063275646115,0.22687920447465537,0.47631838561476436,50.19011406844106,0.021
AMG_AS,SVM,rbf C=10.0,0.34034745288141616,0.23281074630619053,0.48250465936215636,56.27376425855514,0.024
AMG_AS,HistGradientBoosting,max_iter=100,0.34562960867646025,0.23502827844148377,0.48479715184959965,47.14828897338403,0.17
AMG_AS,HistGradientBoosting,max_iter=200,0.3514835769883717,0.23963824184854232,0.48952859145155386,46.00760456273764,0.279
AMG_AS,HistGradientBoosting,max_iter=300,0.35404293313239316,0.24249491589525848,0.49243772793649604,46.7680608365019,0.548
KGH_WA,MLP,hidden=[25] lr=0.0001,2.602163669213498,11.883735271238574,3.4472794013886623,47.72727272727273,0.067
KGH_WA,RandomForest,n_est=50,2.7165340348446008,12.447395515412657,3.5280866649520752,48.484848484848484,0.1
KGH_WA,RandomForest,n_est=100,2.6967567790638314,12.293974899481682,3.5062765007172043,50.75757575757576,0.147
KGH_WA,RandomForest,n_est=200,2.699757263443686,12.276943265683295,3.503846923837184,51.515151515151516,0.285
KGH_WA,SVM,rbf C=0.1,2.4252661459328144,10.654791390671882,3.2641677945031997,51.515151515151516,0.023
KGH_WA,SVM,rbf C=1.0,2.446081223086812,10.770977541873133,3.281916748163051,51.89393939393939,0.022
KGH_WA,SVM,rbf C=10.0,2.516676105828411,11.270032702221352,3.357086936947173,45.45454545454545,0.025
KGH_WA,HistGradientBoosting,max_iter=100,2.5755481733380963,11.390091409786152,3.374920948672154,49.24242424242424,0.193
KGH_WA,HistGradientBoosting,max_iter=200,2.661360044003768,11.833372156336754,3.4399668830290726,49.621212121212125,0.487
KGH_WA,HistGradientBoosting,max_iter=300,2.725046911449578,12.219617743552392,3.4956569831080957,48.484848484848484,0.712
